Gasoline_Demand,Diesel_Demand,Crude_Price,Avg_Temperature,Holiday_Flag,Industrial_Activity_Index,Day_of_Week,Month,Lag_1,Lag_7,Lag_14,RollingMean_7,RollingMean_30
456886,398370,64.7334476369355,59.89944678912073,0,106.49034139599858,3,2,467435.0,590222.0,556730.0,498696.0,500941.36666666664
466803,363059,76.39619558785154,70.9842099600768,0,98.35417133945953,4,2,456886.0,465725.0,484478.0,498850.0,502634.0333333333
431551,346922,93.59209142542468,13.115041335013249,0,91.461701820523,5,2,466803.0,529981.0,522537.0,484788.5714285714,502316.06666666665
516216,343184,75.35331807732176,76.96957022645218,0,95.47332769842916,6,2,431551.0,484654.0,549503.0,489297.4285714286,503949.23333333334
411394,321789,82.87489084908746,59.56209600290427,0,109.60010926393632,0,2,516216.0,566845.0,530523.0,467090.14285714284,502168.36666666664
469092,355130,83.51077443448793,55.07162805701121,0,101.92517150465405,1,2,411394.0,519346.0,402747.0,459911.0,504445.8
403890,376492,67.37905012534557,59.96912384916253,0,104.1947416960204,2,2,469092.0,467435.0,523855.0,450833.14285714284,502584.3
441606,238890,74.48941766609154,79.15465974946913,0,90.1471565925083,3,2,403890.0,456886.0,590222.0,448650.28571428574,497503.6
487313,266017,73.38045154967729,56.95492052471256,0,100.36411464365042,4,2,441606.0,466803.0,465725.0,451580.28571428574,498249.86666666664
541699,378376,61.047868341282594,56.476030391054344,0,90.75057315063606,5,2,487313.0,431551.0,529981.0,467315.71428571426,496338.4666666667
408792,363993,60.96767055565421,89.25433256526127,0,101.38460424182897,6,2,541699.0,516216.0,484654.0,451969.4285714286,496454.5
574073,332596,93.26788174703094,70.53841336548544,0,108.4154169927215,0,2,408792.0,411394.0,566845.0,475209.28571428574,498811.76666666666
554969,300424,70.92283239891249,45.383504436090824,0,109.36838261000815,1,2,574073.0,469092.0,519346.0,487477.4285714286,497818.1
468148,215048,80.72315064955262,66.59176000263422,0,100.81105350777848,2,2,554969.0,403890.0,467435.0,496657.14285714284,497246.2
524243,366183,71.94902294355091,41.138437735343075,0,99.16409610504432,3,2,468148.0,441606.0,456886.0,508462.4285714286,496062.13333333336
520174,368976,97.62716980461362,28.31003699867992,0,108.90034188496988,4,2,524243.0,487313.0,466803.0,513156.85714285716,495714.3333333333
554555,254912,70.37187035463094,57.74815015102075,0,103.4721966399339,5,2,520174.0,541699.0,431551.0,514993.4285714286,495641.8333333333
524358,234008,77.1862725095574,84.25456784911611,0,91.2979855907682,6,3,554555.0,408792.0,516216.0,531502.8571428572,496971.1666666667
448555,331132,94.90921001938408,84.33116160123701,0,99.31451155334994,0,3,524358.0,574073.0,411394.0,513571.71428571426,494505.1
417159,283559,93.67734267167236,37.352422248439225,0,94.80490036928607,1,3,448555.0,554969.0,469092.0,493884.5714285714,490093.63333333336
510510,255337,67.4440567138511,52.214197297735595,0,99.39608642897365,2,3,417159.0,468148.0,403890.0,499936.28571428574,489426.5333333333
506530,310616,92.1057323918284,26.930871885588896,0,99.10931144012724,3,3,510510.0,524243.0,441606.0,497405.85714285716,492885.9666666667
480077,213350,78.3274754695157,89.65048875991067,0,101.64289605629484,4,3,506530.0,520174.0,487313.0,491677.71428571426,491426.7
435920,224354,79.31875488341421,88.48943262943486,0,97.13540980698502,5,3,480077.0,554555.0,541699.0,474729.85714285716,486283.3
598193,245186,65.33919889663775,61.96071437659579,1,93.28540898911857,6,3,435920.0,524358.0,408792.0,485277.71428571426,490698.9
419457,228145,63.22406055028499,74.35312477419787,0,100.07438869179911,0,3,598193.0,448555.0,574073.0,481120.85714285716,487014.76666666666
597629,365092,89.1175722789506,67.208012902696,0,106.60405768691524,1,3,419457.0,417159.0,554969.0,506902.28571428574,490780.6
478953,286123,79.85844609421198,57.452657523157455,0,103.28024456135203,2,3,597629.0,510510.0,468148.0,502394.14285714284,487850.86666666664
452995,220581,77.47402810460719,14.267839759111816,0,96.76735731850432,3,3,478953.0,506530.0,524243.0,494746.28571428574,485639.1666666667
571829,288929,89.18032914609587,46.38114740421288,0,108.71046045517714,4,3,452995.0,480077.0,520174.0,507853.71428571426,489118.9666666667
409692,223051,90.6205159596444,63.98290417339284,0,108.24415142498364,5,3,571829.0,435920.0,554555.0,504106.85714285716,487545.8333333333
576830,251474,66.35632670677414,64.20252911069477,0,94.18696798768198,6,3,409692.0,598193.0,524358.0,501055.0,491213.4
596769,291748,84.40900597910566,39.849809473790685,0,90.78835170240724,0,3,576830.0,419457.0,448555.0,526385.2857142857,496720.6666666667
437065,325995,65.41416329110743,85.33535893264245,0,104.82617416701524,1,3,596769.0,597629.0,417159.0,503447.5714285714,494082.3
499299,269626,90.05500344116183,23.38856257894248,0,106.55220522698306,2,3,437065.0,478953.0,510510.0,506354.14285714284,497012.4666666667
563678,206960,86.27820625068559,50.02875569724485,0,109.35729131902713,3,3,499299.0,452995.0,506530.0,522166.0,500165.3333333333
411534,366844,98.26458484333833,65.27071812406582,0,107.79672788176622,4,3,563678.0,571829.0,480077.0,499266.71428571426,500420.13333333336
440397,352592,62.75832065425685,65.77086447134474,0,102.0106953641283,5,3,411534.0,409692.0,435920.0,503653.14285714284,500379.8333333333
491387,380553,62.282188846050175,61.89111654150524,1,100.6010467842476,6,3,440397.0,576830.0,598193.0,491447.0,500515.63333333336
401016,236408,71.28748298772801,32.02305707614882,0,90.55682102525172,0,3,491387.0,596769.0,419457.0,463482.28571428574,495826.2
455591,294006,70.46822734943623,22.496525494929756,0,94.93312893689556,1,3,401016.0,437065.0,597629.0,466128.85714285716,497386.1666666667
423247,257134,69.87915196287999,60.87522614613687,0,99.19229503465851,2,3,455591.0,499299.0,478953.0,455264.28571428574,492358.63333333336
424300,351563,96.25018322084146,57.94416929115502,0,102.57007800167136,3,3,423247.0,563678.0,452995.0,435353.14285714284,488003.0
482798,332413,69.98184799398024,24.348480823139276,0,101.1450366663682,4,3,424300.0,411534.0,571829.0,445533.71428571426,488491.3333333333
409268,375695,70.87798904514524,66.41113164564507,0,104.8527197936338,5,3,482798.0,440397.0,409692.0,441086.71428571426,484658.8333333333
486807,290327,90.37593049671857,46.413759338692515,0,95.59533861774082,6,3,409268.0,491387.0,576830.0,440432.4285714286,483546.6
412185,331410,77.9895936980216,63.42084732825224,0,101.29905215304946,0,3,486807.0,401016.0,596769.0,442028.0,478800.93333333335
594776,343326,91.06842227820724,76.98936638161206,0,91.76284486781584,1,3,412185.0,455591.0,437065.0,461911.5714285714,481148.2
570171,382932,62.61464630257541,23.578274286153853,0,98.27331047166412,2,4,594776.0,423247.0,499299.0,482900.71428571426,485202.06666666665
539643,211344,79.50284774693537,11.531589439746934,0,105.00321665909202,3,4,570171.0,424300.0,563678.0,499378.28571428574,489284.86666666664
438044,332822,61.34454400733131,72.32820691166295,1,103.86801706858088,4,4,539643.0,482798.0,411534.0,492984.85714285716,486869.3333333333
451214,385828,62.50612813821418,58.775794012209275,0,109.81285474344358,5,4,438044.0,409268.0,440397.0,498977.14285714284,485025.4666666667
592300,267957,96.25749813377644,65.97116556976974,0,95.55782251975512,6,4,451214.0,486807.0,491387.0,514047.5714285714,488766.23333333334
514752,305423,65.56981484470381,77.0523979990914,0,99.96378598347958,0,4,592300.0,412185.0,401016.0,528700.0,491393.9666666667
448984,258053,81.29682729100868,74.22487478596004,0,96.59060827547994,1,4,514752.0,594776.0,455591.0,507872.5714285714,486420.3333333333
440774,346968,76.44382410402827,86.87361175430597,0,98.8120622811835,2,4,448984.0,570171.0,423247.0,489387.28571428574,487130.9
402568,386833,73.8937330503537,52.874806308169454,0,107.13900259738776,3,4,440774.0,539643.0,424300.0,469805.14285714284,480628.86666666664
520151,393624,95.9933338274909,49.07965061279243,0,103.68418150376974,4,4,402568.0,438044.0,482798.0,481534.71428571426,482002.13333333336
593664,277454,60.87293587101958,42.150975991258406,0,107.64882382695164,5,4,520151.0,451214.0,409268.0,501884.71428571426,486691.1
598635,290600,86.55158744702356,22.29528342753636,0,94.07022216663772,6,4,593664.0,592300.0,486807.0,502789.71428571426,487584.63333333336
533767,322732,98.535777368542,55.8085786305618,0,107.46722235682876,0,4,598635.0,514752.0,412185.0,505506.14285714284,491720.4666666667
524375,359007,82.40672733847367,32.1610019460783,0,91.19524548356767,1,4,533767.0,448984.0,594776.0,516276.28571428574,489971.9666666667
579262,237641,97.47289848132368,83.70460097703804,0,107.77198560874304,2,4,524375.0,440774.0,570171.0,536060.2857142857,489388.4
536330,229711,62.09031517144095,56.65526434216781,0,96.58147558921456,3,4,579262.0,402568.0,539643.0,555169.1428571428,492697.23333333334
439504,270342,76.75173276296645,57.42721444064881,0,96.29175266828132,4,4,536330.0,520151.0,438044.0,543648.1428571428,490704.06666666665
564231,306896,70.40631163848205,38.3939728701608,0,100.24177153397328,5,4,439504.0,593664.0,451214.0,539443.4285714285,490722.5
413986,343254,89.2328385992292,14.1591481582166,0,108.81380375446464,6,4,564231.0,598635.0,592300.0,513065.0,490804.23333333334
461858,287833,99.25188361988988,12.53950122983909,0,90.95562729362813,0,4,413986.0,533767.0,514752.0,502792.28571428574,491519.6
529312,256276,70.26120249776991,43.8668115322558,0,97.0446195014149,1,4,461858.0,524375.0,448984.0,503497.5714285714,492783.76666666666
412666,219541,86.16698405896298,16.76523024777903,0,107.13143977366671,2,4,529312.0,579262.0,440774.0,479698.14285714284,493172.1
438660,294457,67.9239053103896,58.54775644321113,0,97.92108954870932,3,4,412666.0,536330.0,402568.0,465745.28571428574,492607.73333333334
534633,244813,82.61321018286439,80.4778404511726,0,93.98313795194134,4,4,438660.0,439504.0,520151.0,479335.14285714284,496320.6
426854,368270,78.55729946753345,80.63318532149778,0,98.49588362662824,5,4,534633.0,564231.0,593664.0,459709.85714285716,496405.73333333334
464505,339892,98.88021318526148,62.72363281057859,0,97.7110500298334,6,4,426854.0,413986.0,598635.0,466926.85714285716,495795.9666666667
504488,224070,84.34109090785866,26.89854651783448,0,108.30832402933407,0,4,464505.0,461858.0,533767.0,473016.85714285716,498969.9666666667
583323,342194,73.98025488347275,79.03974650870977,0,105.23868751486194,1,4,504488.0,529312.0,524375.0,480732.71428571426,502187.1666666667
422662,280559,64.56383139551734,80.88747482505666,0,100.10231111488012,2,4,583323.0,412666.0,579262.0,482160.71428571426,502536.4
408392,241786,66.04987314939738,25.732286796236696,0,109.76741133443142,3,4,422662.0,438660.0,536330.0,477836.71428571426,496323.6
430535,337809,69.0126771980494,68.99408686165418,0,99.30555062551846,4,5,408392.0,534633.0,439504.0,462965.5714285714,491669.06666666665
513569,236062,70.03866645361192,32.92156391416984,0,91.1647566164055,5,5,430535.0,426854.0,564231.0,475353.4285714286,490799.93333333335
452256,385309,94.02464231364551,74.21122498823438,0,95.2454864362997,6,5,513569.0,464505.0,413986.0,473603.5714285714,491273.6666666667
489135,251571,82.448911531301,89.77903199228821,0,98.72140960438624,0,5,452256.0,504488.0,461858.0,471410.28571428574,492537.7
527478,225510,80.93563645497466,12.402080426351423,0,93.1380524829224,1,5,489135.0,583323.0,529312.0,463432.4285714286,490376.9666666667
435222,219426,64.59075487476869,81.78926926327455,0,108.95130252648086,2,5,527478.0,422662.0,412666.0,465226.71428571426,487725.9666666667
477373,237265,94.4055877339774,59.810442687892646,1,105.33697795635548,3,5,435222.0,408392.0,438660.0,475081.14285714284,488672.26666666666
523684,348922,88.91257212833935,87.8706095331857,0,95.36574400855544,4,5,477373.0,430535.0,534633.0,488388.14285714284,491435.93333333335
594407,266150,62.706734476000065,47.20076140211421,1,101.81609067035832,5,5,523684.0,513569.0,426854.0,499936.4285714286,497830.56666666665
410965,287312,88.31340388919075,77.7910344457099,0,104.42898314219144,6,5,594407.0,452256.0,464505.0,494037.71428571426,494191.0333333333
424538,289613,81.74152869370585,14.991525487862178,0,108.82557857813596,0,5,410965.0,489135.0,504488.0,484809.5714285714,488553.5
508066,274910,63.26901382987113,36.822324006263656,0,107.6327069835082,1,5,424538.0,527478.0,583323.0,482036.4285714286,485534.5333333333
513252,252375,78.33202566114626,15.361323020096798,0,100.30384452276428,2,5,508066.0,435222.0,422662.0,493183.5714285714,484850.7
539182,321826,79.38785148520188,88.02745067832564,0,105.49305239586036,3,5,513252.0,477373.0,408392.0,502013.4285714286,485344.26666666666
558338,235435,66.63098160653104,75.35791258174694,0,101.2428950765517,4,5,539182.0,523684.0,430535.0,506964.0,484646.8
584064,296443,97.82792588001128,78.20379369967765,0,101.0540778009108,5,5,558338.0,594407.0,513569.0,505486.4285714286,486237.93333333335
498806,388204,93.99901485922648,85.03721851471154,0,92.29483916676384,6,5,584064.0,410965.0,452256.0,518035.14285714284,488214.6666666667
537982,334055,86.76089349316433,16.80827888958283,0,92.52275316032303,0,5,498806.0,424538.0,489135.0,534241.4285714285,487339.7
510989,351734,78.4918224400243,40.84780740106667,0,100.59067230044914,1,5,537982.0,508066.0,527478.0,534659.0,490573.13333333336
490982,223510,76.47062166338034,15.68279112352017,0,95.37723089958013,2,5,510989.0,513252.0,435222.0,531477.5714285715,491543.93333333335
521626,372070,86.03893868603816,26.86344812400229,1,90.42073804920938,3,5,490982.0,539182.0,477373.0,528969.5714285715,491287.73333333334
519176,387918,81.81727477627622,28.34926216301379,0,104.45678407800423,4,5,521626.0,558338.0,523684.0,523375.0,494838.06666666665
531278,294071,62.49092423527542,47.528576883806295,0,90.6497319338033,5,5,519176.0,584064.0,594407.0,515834.14285714284,497925.3333333333
522409,206640,80.50010595081326,31.48497339629141,0,101.90553682208107,6,5,531278.0,498806.0,410965.0,519206.0,497517.86666666664
423419,244547,92.25614468931356,18.078248545420887,0,100.78387588254628,0,5,522409.0,537982.0,424538.0,502839.85714285716,497403.36666666664
581708,254620,78.36959510387832,23.399287127528616,0,109.3762938115561,1,5,423419.0,510989.0,508066.0,512942.5714285714,501310.13333333336
450015,346389,62.07826310217074,21.782045084167272,0,99.68426278695284,2,5,581708.0,490982.0,513252.0,507090.14285714284,499494.36666666664
522096,315608,91.45112797536132,87.84614383298387,0,91.27202872755596,3,5,450015.0,521626.0,539182.0,507157.28571428574,497453.4666666667
507059,207564,68.05455128543898,70.74340055347788,0,101.03375935612924,4,5,522096.0,519176.0,558338.0,505426.28571428574,500266.7
585340,358417,70.34483339552155,87.42091722156496,0,106.82192341232202,5,5,507059.0,531278.0,584064.0,513149.4285714286,506164.9666666667
510687,313824,66.58825413729184,45.179238920632685,1,109.9369856856288,6,5,585340.0,522409.0,498806.0,511474.85714285716,508836.7
487939,279273,73.2086025948599,32.26947853301253,0,98.60686347378144,0,6,510687.0,423419.0,537982.0,520692.0,507982.36666666664
549213,274859,90.2700602275454,73.86345577673494,0,96.40597484993484,1,6,487939.0,581708.0,510989.0,516049.85714285716,511214.26666666666
505878,310017,80.77543438015749,36.10031344329174,0,108.13306593903998,2,6,549213.0,450015.0,490982.0,524030.28571428574,511772.36666666664
587116,323618,68.1952509660285,33.95066989642786,0,93.82484258152245,3,6,505878.0,522096.0,521626.0,533318.8571428572,513760.3
598286,383465,95.11320312608164,28.600479376626495,0,102.30857830065854,4,6,587116.0,507059.0,519176.0,546351.2857142857,519195.76666666666
564899,397153,95.18327419806116,20.37431825793883,0,98.11428848361896,5,6,598286.0,585340.0,531278.0,543431.1428571428,522113.3
586892,325341,94.82313700184028,30.51704488134128,0,90.8216472991111,6,6,564899.0,510687.0,522409.0,554317.5714285715,524220.23333333334
462623,229430,69.55184845526158,38.42557987791102,0,96.94576948611396,0,6,586892.0,487939.0,423419.0,550701.0,519827.43333333335
475450,227788,78.04957376723952,63.91953665165843,0,95.30457045005348,1,6,462623.0,549213.0,581708.0,540163.4285714285,521976.93333333335
493426,379615,99.399586245635,15.005187377556126,0,103.72182307886972,2,6,475450.0,505878.0,450015.0,538384.5714285715,524273.2
517845,344991,90.8804990523996,26.840555173227436,0,108.97580995383836,3,6,493426.0,587116.0,522096.0,528488.7142857143,524599.1666666666
553371,269346,61.086696849022395,74.72189122333411,0,95.36094374757276,4,6,517845.0,598286.0,507059.0,522072.28571428574,525936.4666666667
443585,296122,62.60818365041968,21.75375388670166,0,106.22931878303363,5,6,553371.0,564899.0,585340.0,504741.71428571426,522749.9
509225,239974,78.5572550724933,37.41161172180172,0,91.1071963387682,6,6,443585.0,586892.0,510687.0,493646.4285714286,521112.8
464044,307309,96.3688082344624,79.1727137486512,0,100.76242020079626,0,6,509225.0,462623.0,487939.0,493849.4285714286,517112.13333333336
573629,216371,81.54807191810858,22.39402489147541,0,91.41100127419789,1,6,464044.0,475450.0,549213.0,507875.0,519606.23333333334
580152,245084,79.91250032137161,16.61894684945519,0,108.68065982261278,2,6,573629.0,493426.0,505878.0,520264.4285714286,521011.9
509556,360701,64.21894799826522,48.763039606400866,0,105.3270256111478,3,6,580152.0,517845.0,587116.0,519080.28571428574,520964.13333333336
402693,382256,86.27120418897177,34.19356090228291,0,103.15899822409185,4,6,509556.0,553371.0,598286.0,497554.85714285716,518021.1666666667
495259,261916,92.88412642400904,55.07266915870833,0,106.47792763249328,5,6,402693.0,443585.0,564899.0,504936.85714285716,517142.26666666666
425939,273972,75.2168003003025,74.30439123867801,0,102.95039591140326,6,6,495259.0,509225.0,586892.0,493038.85714285716,514034.36666666664
579997,393259,91.02447403701308,20.971879052219453,0,109.37888794348582,0,6,425939.0,464044.0,462623.0,509603.5714285714,515658.3333333333
574013,212984,98.57906615603248,56.4559267643428,0,104.27915895729544,1,6,579997.0,573629.0,475450.0,509658.4285714286,517378.4666666667
552906,233039,68.15065836510756,50.44070083118911,0,108.49317219164492,2,6,574013.0,580152.0,493426.0,505766.14285714284,521694.7
418047,285431,80.93318524778965,21.526302881055965,0,100.34263784021276,3,6,552906.0,509556.0,517845.0,492693.4285714286,516239.3333333333
426105,283691,71.48551832338302,59.91987884231859,0,92.34128825963724,4,6,418047.0,402693.0,553371.0,496038.0,515442.3333333333
475766,258606,91.71417676135356,31.89123342886173,0,100.56355442846034,5,6,426105.0,495259.0,443585.0,493253.28571428574,513898.0
546779,341688,83.1037346352463,49.026745483521,0,92.53745656126186,6,6,475766.0,425939.0,509225.0,510516.14285714284,515222.0
553048,302665,85.38329670201215,16.58178594216495,0,101.8498695835281,0,6,546779.0,579997.0,464044.0,506666.28571428574,514145.6
444262,305373,91.91656638463576,46.766724577089846,0,99.64986121055324,1,6,553048.0,574013.0,573629.0,488130.4285714286,511931.43333333335
525117,381144,75.83881890649819,34.51707744342563,0,102.45150795665565,2,7,444262.0,552906.0,580152.0,484160.5714285714,513170.7
423776,224574,96.60360273628172,75.79049689482835,1,90.20093962109664,3,7,525117.0,418047.0,509556.0,484979.0,508989.4666666667
561152,334502,81.3211546898456,14.558298159789462,0,93.89680983310728,4,7,423776.0,426105.0,402693.0,504271.4285714286,510831.93333333335
528376,343748,66.31819291341392,43.4885819934664,0,99.82660863824262,5,7,561152.0,475766.0,495259.0,511787.14285714284,508873.93333333335
597914,341888,87.8359647267521,46.67451393051504,0,109.0100712317827,6,7,528376.0,546779.0,425939.0,519092.14285714284,508861.5333333333
592445,232733,91.73045401753018,68.0004861039295,0,97.67218080710316,0,7,597914.0,553048.0,579997.0,524720.2857142857,509779.73333333334
537848,202050,72.67046708270107,55.94300600721688,0,98.4874405210727,1,7,592445.0,444262.0,574013.0,538089.7142857143,508144.93333333335
492787,309996,94.28717027995012,63.376986975534486,0,104.29392178013244,2,7,537848.0,525117.0,552906.0,533471.1428571428,509150.4
527948,233933,96.24573019063064,72.1639428521405,0,102.07585514572236,3,7,492787.0,423776.0,418047.0,548352.8571428572,510900.3333333333
455016,224951,71.07617949511236,78.9762378926551,0,95.97852300196666,4,7,527948.0,561152.0,426105.0,533190.5714285715,509620.0
540546,232413,99.34085890860888,35.11003973779764,0,98.21632791134856,5,7,455016.0,528376.0,475766.0,534929.1428571428,510376.7
589125,365873,65.62846112195034,53.04181642911224,0,94.35399597714463,6,7,540546.0,597914.0,546779.0,533673.5714285715,511568.5
421959,386691,68.0806267360996,77.20864627513599,0,109.32042918260416,0,7,589125.0,592445.0,553048.0,509318.4285714286,510847.63333333336
536602,363985,67.36899356952105,89.15609047720451,0,92.6126876311472,1,7,421959.0,537848.0,444262.0,509140.4285714286,511760.2
519101,312573,95.7595884003148,81.16154488350105,0,97.4367356913284,2,7,536602.0,492787.0,525117.0,512899.5714285714,513595.43333333335
403748,371672,86.17170209299847,39.717381009950145,0,90.51677944440024,3,7,519101.0,527948.0,423776.0,495156.71428571426,507932.73333333334
413545,388847,66.08417132889092,25.613321377492035,1,94.43558983867092,4,7,403748.0,455016.0,561152.0,489232.28571428574,502379.1666666667
527659,366472,77.61293673473396,49.151402992527096,0,105.60942276760308,5,7,413545.0,540546.0,528376.0,487391.28571428574,502982.6
597271,335566,84.61192100279209,69.33131614688338,0,94.0235046457776,6,7,527659.0,589125.0,597914.0,488555.0,509468.5333333333
565838,322744,63.338563399575335,49.405525660263805,0,91.6012680505793,0,7,597271.0,421959.0,592445.0,509109.14285714284,511821.1666666667
473530,289431,95.29665473629356,48.65446906509348,0,99.48906359689046,1,7,565838.0,536602.0,537848.0,500098.85714285716,513407.5333333333
493557,243001,92.1441414176614,77.05843368654405,0,90.19938469469037,2,7,473530.0,519101.0,492787.0,496449.71428571426,510526.2
461087,267364,80.20827094306553,38.91230232537491,0,91.69532308852666,3,7,493557.0,403748.0,527948.0,504641.0,506762.0
468840,324988,98.68506461036682,78.78357398493165,0,106.15251739125952,4,7,461087.0,413545.0,455016.0,512540.28571428574,503959.8
518451,245028,76.71043917100398,42.54438407613789,0,105.42946689719211,5,7,468840.0,527659.0,540546.0,511224.85714285716,507306.6
585456,368645,99.36441276145992,36.25864845426715,0,108.30277640809793,6,7,518451.0,597271.0,589125.0,509537.0,512618.3
451005,331878,86.71679995214508,46.31919289597592,0,107.09030871821498,0,7,585456.0,565838.0,421959.0,493132.28571428574,511792.93333333335
577648,324343,85.38685093015766,70.99575669398948,0,103.66351126479636,1,7,451005.0,473530.0,536602.0,508006.28571428574,512821.9
439353,387710,66.6381958118314,20.080162229119544,0,91.04665714601326,2,7,577648.0,493557.0,519101.0,500262.85714285716,509032.06666666665
593075,328301,95.27711033218576,25.71353726976139,0,105.65697235973316,3,7,439353.0,461087.0,403748.0,519118.28571428574,513992.5
452733,326295,77.09958751682461,86.11558605304735,0,106.9102162168112,4,7,593075.0,468840.0,413545.0,516817.28571428574,511579.7
465318,360829,66.48933623129918,24.03933019050859,0,105.9816429154391,5,8,452733.0,518451.0,527659.0,509226.85714285716,512964.43333333335
554736,234636,60.50430079903036,55.41818543448437,0,100.16958070616052,6,8,465318.0,585456.0,597271.0,504838.28571428574,512750.56666666665
467172,379352,82.39022734553531,56.345157332955026,0,94.65803677298965,0,8,554736.0,451005.0,565838.0,507147.85714285716,510710.43333333335
493264,224262,81.09598488490705,49.16995696401958,0,106.90659951377454,1,8,467172.0,577648.0,473530.0,495093.0,507222.1
426736,280435,88.77414489476634,61.57961988614549,0,104.54325619480277,2,8,493264.0,439353.0,493557.0,493290.5714285714,501698.4666666667
512859,393283,95.61032212071208,28.386138063809476,0,109.61522348777704,3,8,426736.0,593075.0,461087.0,481831.14285714284,500865.5
512181,385914,63.17626338572118,54.212981422139855,0,93.11385195511866,4,8,512859.0,452733.0,468840.0,490323.71428571426,501511.9666666667
531926,328583,89.2598596136145,39.77386041975177,0,94.5132916610411,5,8,512181.0,465318.0,518451.0,499839.14285714284,501644.56666666665
490084,388051,67.49647776390329,62.93338077033512,0,94.23596299763004,6,8,531926.0,554736.0,585456.0,490603.14285714284,502813.5
569695,369269,94.32708212628656,21.297883469851957,0,105.85079535242672,0,8,490084.0,467172.0,451005.0,505249.28571428574,503785.13333333336
407392,241844,92.76254055446624,55.6701933471581,0,93.73814592900236,1,8,569695.0,493264.0,577648.0,492981.85714285716,497727.36666666664
455680,264754,81.63175019942177,24.821628430665896,0,91.33319659646612,2,8,407392.0,426736.0,439353.0,497116.71428571426,498851.4
577789,365229,88.40971194493247,32.29144504920291,0,109.97121613171257,3,8,455680.0,512859.0,593075.0,506392.4285714286,500224.3
450859,277129,72.57400452734994,27.496784025886654,0,90.49634422890298,4,8,577789.0,512181.0,452733.0,497632.14285714284,497949.56666666665
525657,240042,78.84671595731258,24.62702238950537,0,106.70488120317732,5,8,450859.0,531926.0,465318.0,496736.5714285714,502013.2
557381,261665,92.86547590841889,76.05687612485336,0,97.30733683101306,6,8,525657.0,490084.0,554736.0,506350.4285714286,506807.73333333334
594806,316953,78.37060788692855,32.856605412871225,0,106.8323091951563,0,8,557381.0,569695.0,467172.0,509937.71428571426,509045.9666666667
470467,358448,74.31193061301767,84.16990254915595,0,101.0924098242229,1,8,594806.0,407392.0,493264.0,518948.4285714286,504819.1666666667
583734,386626,79.768497890012,87.59412202761527,0,108.0326245897272,2,8,470467.0,455680.0,426736.0,537241.8571428572,505415.7
498506,345271,93.12997009748874,55.70083759496779,0,108.52385972829254,3,8,583734.0,577789.0,512859.0,525915.7142857143,506248.23333333334
509751,318533,73.40832189483491,21.440089813258112,0,90.18196362561552,4,8,498506.0,450859.0,512181.0,534328.8571428572,506788.0333333333
518906,382020,66.95046372542976,39.9638594703665,0,91.50824351985575,5,8,509751.0,525657.0,531926.0,533364.4285714285,508715.3333333333
543760,273781,88.48056081323124,73.81858106785712,1,95.00717459141713,6,8,518906.0,557381.0,490084.0,531418.5714285715,511212.6666666667
425342,266262,93.03912850832327,39.39125829576564,0,103.38630832727004,0,8,543760.0,594806.0,569695.0,507209.4285714286,508109.0333333333
568229,246600,64.02549914094133,16.961377464223098,0,107.76544393023012,1,8,425342.0,470467.0,407392.0,521175.4285714286,507534.8
598935,276898,69.59496451023779,54.542792874255035,0,99.19883902587924,2,8,568229.0,583734.0,455680.0,523347.0,512465.8
